HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
4406,False,null,null,null,null,null,null,null
4414,True,35-44,Single,35-49K,Homeowner,Single Male,1,null
4420,True,25-34,Single,50-74K,Renter,1 Adult,1,null
4432,True,45-54,Single,100-150K,null,Single Male,1,null
4439,True,35-44,Single,100-150K,Homeowner,Single Male,1,null
4453,False,75+,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
4457,False,45-54,Single,75-99K,Homeowner,1 Adult and Kids,2,1
4458,False,45-54,Married,150K+,Homeowner,2 Adults and Kids,5+,3+
4498,False,25-34,Single,50-74K,Homeowner,Single Female,1,null
4506,True,45-54,Married,150K+,Homeowner,2 Adults and Kids,4,2
4552,True,null,null,null,null,null,null,null
4568,True,null,null,null,null,null,null,null
4570,True,null,null,null,null,null,null,null
4587,False,75+,Single,UNDER 35K,Homeowner,Single Female,1,null
4594,False,null,null,null,null,null,null,null
4603,False,35-44,Married,50-74K,Homeowner,2 Adults,2,null
4604,True,25-34,Single,100-150K,Homeowner,Single Female,1,null
4606,False,75+,Single,35-49K,Homeowner,Single Male,1,null
4607,True,null,null,null,null,null,null,null
4614,True,null,null,null,null,null,null,null
4623,True,25-34,Married,50-74K,null,2 Adults,2,null
4713,True,45-54,Single,100-150K,Homeowner,1 Adult and Kids,5+,3+
4716,False,45-54,Single,75-99K,Homeowner,Single Female,1,null
4719,True,75+,Married,UNDER 35K,Homeowner,2 Adults,2,null
4724,False,65-74,Single,50-74K,Homeowner,Single Male,1,null
4725,True,75+,Married,UNDER 35K,Homeowner,2 Adults,2,null
4740,True,25-34,Single,UNDER 35K,Homeowner,1 Adult and Kids,2,1
4745,False,35-44,Single,UNDER 35K,Renter,Single Female,1,null
4753,True,null,null,null,null,null,null,null
4757,False,25-34,Single,100-150K,Homeowner,1 Adult,1,null
4766,True,45-54,Married,75-99K,Homeowner,2 Adults and Kids,3,1
4774,True,25-34,Married,100-150K,Homeowner,2 Adults and Kids,3,1
4778,True,65-74,Single,UNDER 35K,Homeowner,1 Adult and Kids,3,2
4809,True,null,null,null,null,null,null,null
4813,True,45-54,Single,75-99K,Homeowner,Single Male,1,null
4816,True,45-54,Married,50-74K,Renter,2 Adults,2,null
4823,True,null,null,null,null,null,null,null
4836,True,null,null,null,null,null,null,null
4851,False,null,null,null,null,null,null,null
4857,True,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,4,2
4878,False,65-74,Married,35-49K,Homeowner,2 Adults,2,null
4879,True,null,Single,75-99K,Homeowner,Single Male,1,null
4897,False,null,null,null,null,null,null,null
4904,True,null,null,null,null,null,null,null
4909,False,45-54,Married,100-150K,Homeowner,2 Adults and Kids,4,2
4974,True,45-54,Married,50-74K,Homeowner,2 Adults,2,null
4982,True,null,null,null,null,null,null,null
4987,True,null,null,null,null,null,null,null
4989,False,55-64,Single,100-150K,Renter,1 Adult,1,null
