PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
7014281,NON-FOOD,PERSONAL CARE,NATIONAL,Y
7014330,FOOD,BAKERY,NATIONAL,N
7014349,NON-FOOD,TOYS,NATIONAL,N
7014364,NON-FOOD,CLOTHING,PRIVATE,N
7014429,NON-FOOD,CLOTHING,PRIVATE,N
7014474,FOOD,GROCERY STAPLE,PRIVATE,N
7014537,NON-FOOD,TOYS,NATIONAL,N
7014566,NON-FOOD,HOUSEHOLD,NATIONAL,N
7014669,NON-FOOD,PERSONAL CARE,NATIONAL,N
7014680,PHARMA,MEDICATION,PRIVATE,N
7014753,NON-FOOD,HOUSEHOLD,NATIONAL,N
7014879,NON-FOOD,PERSONAL CARE,NATIONAL,N
7014882,NON-FOOD,HOUSEHOLD,NATIONAL,N
7014891,NON-FOOD,HOUSEHOLD,NATIONAL,N
7014950,FOOD,GIFT,NATIONAL,N
7015075,FOOD,GROCERY STAPLE,NATIONAL,N
7015086,NON-FOOD,OUTDOOR,NATIONAL,N
7015134,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7015195,NON-FOOD,CLOTHING,PRIVATE,N
7015278,FOOD,GROCERY STAPLE,PRIVATE,Y
7015279,FOOD,GROCERY STAPLE,PRIVATE,N
7015280,FOOD,GROCERY STAPLE,NATIONAL,N
7015286,NON-FOOD,FLORAL,NATIONAL,N
7015290,FOOD,GROCERY STAPLE,NATIONAL,Y
7015364,NON-FOOD,TOYS,NATIONAL,N
7015479,NON-FOOD,PERSONAL CARE,NATIONAL,N
7015624,NON-FOOD,CLOTHING,PRIVATE,N
7015679,NON-FOOD,HOUSEHOLD,PRIVATE,N
7015685,NON-FOOD,HOUSEHOLD,NATIONAL,N
7015848,FOOD,GROCERY STAPLE,PRIVATE,N
7015853,NON-FOOD,HOUSEHOLD,NATIONAL,N
7015942,FOOD,IN STORE FOOD SERVICE,PRIVATE,N
7016056,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016255,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016260,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016437,NON-FOOD,CLOTHING,PRIVATE,N
7016455,NON-FOOD,COSMETICS,NATIONAL,N
7016460,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016539,FOOD,SEAFOOD,NATIONAL,N
7016540,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016655,NON-FOOD,HOUSEHOLD,NATIONAL,N
7016739,NON-FOOD,TOYS,NATIONAL,N
7016745,NON-FOOD,TOYS,NATIONAL,N
7016872,NON-FOOD,PERSONAL CARE,NATIONAL,N
7016874,NON-FOOD,PERSONAL CARE,NATIONAL,N
7016892,FOOD,ALCOHOL,NATIONAL,N
7016962,NON-FOOD,HOUSEHOLD,NATIONAL,N
7017073,FOOD,GROCERY STAPLE,PRIVATE,N
7017077,FOOD,GROCERY STAPLE,NATIONAL,Y
7017134,NON-FOOD,MISC,NATIONAL,N
7017177,NON-FOOD,CLOTHING,PRIVATE,N
7017259,NON-FOOD,MISC,NATIONAL,N
7017293,FOOD,ALCOHOL,NATIONAL,N
7017339,NON-FOOD,HOUSEHOLD,NATIONAL,N
7017404,NON-FOOD,CLOTHING,PRIVATE,N
7017458,NON-FOOD,HOUSEHOLD,NATIONAL,N
7017520,FOOD,SEAFOOD,NATIONAL,N
7017522,NON-FOOD,HOUSEHOLD,NATIONAL,N
7017534,NON-FOOD,CLOTHING,PRIVATE,N
7017579,NON-FOOD,CLOTHING,PRIVATE,N
7017629,NON-FOOD,PERSONAL CARE,NATIONAL,N
7017638,FOOD,ALCOHOL,NATIONAL,N
7017827,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7017837,NON-FOOD,PERSONAL CARE,NATIONAL,N
7017870,FOOD,BAKERY,NATIONAL,N
7017883,FOOD,GROCERY STAPLE,PRIVATE,N
7017884,FOOD,SEAFOOD,PRIVATE,N
7017898,FOOD,DAIRY,NATIONAL,N
7017911,FOOD,ALCOHOL,NATIONAL,N
7018118,FOOD,SEAFOOD,NATIONAL,N
7018264,FOOD,GROCERY STAPLE,PRIVATE,N
7018266,FOOD,DRY GOODS,PRIVATE,N
7018271,FOOD,BAKERY,NATIONAL,N
7018279,FOOD,GROCERY STAPLE,NATIONAL,N
7018281,FOOD,DAIRY,NATIONAL,N
7018282,FOOD,DAIRY,NATIONAL,N
7018287,FOOD,BAKERY,NATIONAL,N
7018289,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7018535,NON-FOOD,CLOTHING,PRIVATE,N
7018646,FOOD,PRODUCE,PRIVATE,N
7018647,NON-FOOD,PET,NATIONAL,N
7018648,FOOD,DAIRY,NATIONAL,N
7018649,FOOD,DAIRY,NATIONAL,N
7018668,FOOD,ALCOHOL,NATIONAL,N
7018901,NON-FOOD,CLOTHING,NATIONAL,N
7019046,FOOD,DAIRY,NATIONAL,N
7019047,FOOD,DAIRY,NATIONAL,N
7019055,FOOD,DAIRY,NATIONAL,N
7019064,FOOD,BAKERY,NATIONAL,N
7019067,NON-FOOD,SEASONAL PRODUCTS,NATIONAL,N
7019068,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7019069,FOOD,FROZEN FOOD,NATIONAL,N
7019170,FOOD,GROCERY STAPLE,NATIONAL,N
7019239,FOOD,BEVERAGE - WATER,NATIONAL,Y
7019266,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7019278,FOOD,GROCERY STAPLE,NATIONAL,N
7019442,NON-FOOD,PET,NATIONAL,N
7019453,FOOD,DAIRY,NATIONAL,N
7019462,FOOD,DAIRY,NATIONAL,N
7019570,FOOD,MEAT - CHICKEN,NATIONAL,N
7019692,NON-FOOD,HOUSEHOLD,NATIONAL,N
7019855,FOOD,GROCERY STAPLE,PRIVATE,Y
7019856,FOOD,FROZEN FOOD,PRIVATE,N
7019858,FOOD,GROCERY STAPLE,PRIVATE,N
7019860,FOOD,DAIRY,NATIONAL,N
7019861,FOOD,DAIRY,NATIONAL,N
7019862,FOOD,DAIRY,NATIONAL,N
7019866,FOOD,GROCERY STAPLE,NATIONAL,N
7019871,FOOD,BAKERY,NATIONAL,N
7019877,NON-FOOD,PET,NATIONAL,N
7019980,FOOD,SEAFOOD,NATIONAL,N
7020000,NON-FOOD,CLOTHING,NATIONAL,N
7020030,FOOD,ALCOHOL,PRIVATE,N
7020071,FOOD,GROCERY STAPLE,NATIONAL,N
7020254,FOOD,GROCERY STAPLE,PRIVATE,N
7020255,FOOD,GROCERY STAPLE,PRIVATE,N
7020256,FOOD,SEAFOOD,PRIVATE,N
7020257,FOOD,DAIRY,NATIONAL,N
7020259,FOOD,GROCERY STAPLE,NATIONAL,N
7020264,FOOD,DAIRY,NATIONAL,N
7020273,FOOD,BAKERY,NATIONAL,N
7020491,FOOD,ALCOHOL,PRIVATE,N
7020647,FOOD,PRODUCE,PRIVATE,N
7020651,FOOD,DAIRY,NATIONAL,N
7020652,FOOD,DAIRY,NATIONAL,N
7020653,FOOD,BAKERY,NATIONAL,N
7020654,FOOD,GROCERY STAPLE,NATIONAL,N
7020660,NON-FOOD,CLOTHING,NATIONAL,N
7020665,FOOD,DAIRY,NATIONAL,N
7021040,NON-FOOD,MISC,NATIONAL,N
7021060,FOOD,BAKERY,NATIONAL,N
7021061,FOOD,BAKERY,NATIONAL,N
7021179,FOOD,MEAT - PORK,NATIONAL,N
7021368,NON-FOOD,CLOTHING,NATIONAL,N
7021426,FOOD,DAIRY,NATIONAL,N
7021428,FOOD,GROCERY STAPLE,NATIONAL,N
7021430,NON-FOOD,BABY,PRIVATE,N
7021512,NON-FOOD,CLOTHING,NATIONAL,N
7021646,NON-FOOD,COSMETICS,NATIONAL,N
7022197,FOOD,DAIRY,NATIONAL,N
7022205,FOOD,FROZEN FOOD,NATIONAL,N
7022207,FOOD,ALCOHOL,PRIVATE,N
7022423,FOOD,ALCOHOL,PRIVATE,N
7022572,FOOD,DAIRY,NATIONAL,N
7022576,FOOD,GROCERY STAPLE,NATIONAL,N
7022585,FOOD,GROCERY STAPLE,NATIONAL,N
7022805,FOOD,ALCOHOL,NATIONAL,N
7022903,NON-FOOD,CLOTHING,PRIVATE,N
7022971,FOOD,DAIRY,NATIONAL,N
7022978,FOOD,GROCERY STAPLE,NATIONAL,N
7022984,FOOD,BAKERY,NATIONAL,N
7022985,FOOD,BAKERY,NATIONAL,N
7022994,FOOD,DAIRY,NATIONAL,N
7023097,FOOD,SEAFOOD,NATIONAL,N
7023134,FOOD,ALCOHOL,PRIVATE,N
7023209,FOOD,SEAFOOD,NATIONAL,N
7023210,NON-FOOD,PET,NATIONAL,N
7023217,NON-FOOD,PERSONAL CARE,NATIONAL,N
7023273,NON-FOOD,CLOTHING,PRIVATE,N
7023367,FOOD,GROCERY STAPLE,PRIVATE,N
7023368,FOOD,PRODUCE,PRIVATE,N
7023387,FOOD,BAKERY,NATIONAL,N
7023389,FOOD,DAIRY,NATIONAL,N
7023396,FOOD,DAIRY,NATIONAL,N
7023591,FOOD,ALCOHOL,PRIVATE,N
7023604,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7023793,FOOD,DAIRY,NATIONAL,N
7024005,NON-FOOD,CLOTHING,NATIONAL,N
7024015,NON-FOOD,CLOTHING,NATIONAL,N
7024173,NON-FOOD,CLOTHING,NATIONAL,N
7024202,FOOD,GROCERY STAPLE,NATIONAL,Y
7024203,FOOD,ALCOHOL,NATIONAL,N
7024208,FOOD,ALCOHOL,NATIONAL,N
7024230,FOOD,PRODUCE,NATIONAL,N
7024258,FOOD,ALCOHOL,NATIONAL,N
7024270,FOOD,DAIRY,NATIONAL,Y
7024278,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024284,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024292,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024300,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024302,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024312,FOOD,DAIRY,NATIONAL,Y
7024317,NON-FOOD,PERSONAL CARE,NATIONAL,N
7024318,FOOD,DAIRY,NATIONAL,Y
7024319,FOOD,DAIRY,NATIONAL,Y
7024323,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024329,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024330,FOOD,GROCERY STAPLE,NATIONAL,N
7024336,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024337,FOOD,DAIRY,NATIONAL,Y
7024338,FOOD,DAIRY,NATIONAL,Y
7024340,NON-FOOD,MISC,NATIONAL,N
7024341,FOOD,BEVERAGE - NON WATER,NATIONAL,N
7024342,FOOD,DAIRY,NATIONAL,Y
7024346,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
7024361,NON-FOOD,GIFT,NATIONAL,N
7024379,NON-FOOD,GIFT,NATIONAL,N
7024421,NON-FOOD,GIFT,NATIONAL,N
7024431,NON-FOOD,GIFT,NATIONAL,N
7024443,NON-FOOD,GIFT,NATIONAL,N
7024446,NON-FOOD,GIFT,NATIONAL,N
7024448,NON-FOOD,GIFT,NATIONAL,N
7024455,FOOD,GROCERY STAPLE,NATIONAL,Y
7024457,FOOD,BABY,PRIVATE,N
7024689,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
7024695,NON-FOOD,BABY,NATIONAL,Y
7024746,NON-FOOD,CLOTHING,PRIVATE,N
7024816,NON-FOOD,CLOTHING,PRIVATE,N
7024909,NON-FOOD,GIFT,NATIONAL,N
7024910,NON-FOOD,GIFT,NATIONAL,N
7024923,NON-FOOD,GIFT,NATIONAL,N
7024957,NON-FOOD,GIFT,NATIONAL,N
